// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in E:\Algorithms and Data Structures\C#\BenchmarkerApp\Benchmarker\bin\Release\net6.0\297de48e-e706-4754-b90a-9730fad636f9
// command took 1.25s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in E:\Algorithms and Data Structures\C#\BenchmarkerApp\Benchmarker\bin\Release\net6.0\297de48e-e706-4754-b90a-9730fad636f9
// command took 13.14s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in E:\Algorithms and Data Structures\C#\BenchmarkerApp\Benchmarker\bin\Release\net6.0\297de48e-e706-4754-b90a-9730fad636f9
// command took 2.62s and exited with 0
// ***** Done, took 00:00:17 (17.1 sec)   *****
// Found 1 benchmarks:
//   Demo.GetFullString: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Demo.GetFullString: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 297de48e-e706-4754-b90a-9730fad636f9.dll --benchmarkName Benchmarker.Demo.GetFullString --job Default --benchmarkId 0 in E:\Algorithms and Data Structures\C#\BenchmarkerApp\Benchmarker\bin\Release\net6.0\297de48e-e706-4754-b90a-9730fad636f9\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.10 (6.0.1022.47605), X64 RyuJIT AVX
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX,AES,PCLMUL,POPCNT VectorSize=128
// Job: DefaultJob

OverheadJitting  1: 1 op, 373400.00 ns, 373.4000 us/op
WorkloadJitting  1: 1 op, 329200.00 ns, 329.2000 us/op

OverheadJitting  2: 16 op, 760100.00 ns, 47.5063 us/op
WorkloadJitting  2: 16 op, 1078000.00 ns, 67.3750 us/op

WorkloadPilot    1: 16 op, 78600.00 ns, 4.9125 us/op
WorkloadPilot    2: 32 op, 282700.00 ns, 8.8344 us/op
WorkloadPilot    3: 64 op, 581000.00 ns, 9.0781 us/op
WorkloadPilot    4: 128 op, 1140800.00 ns, 8.9125 us/op
WorkloadPilot    5: 256 op, 2024200.00 ns, 7.9070 us/op
WorkloadPilot    6: 512 op, 2270000.00 ns, 4.4336 us/op
WorkloadPilot    7: 1024 op, 5080900.00 ns, 4.9618 us/op
WorkloadPilot    8: 2048 op, 9022500.00 ns, 4.4055 us/op
WorkloadPilot    9: 4096 op, 17977300.00 ns, 4.3890 us/op
WorkloadPilot   10: 8192 op, 37083100.00 ns, 4.5267 us/op
WorkloadPilot   11: 16384 op, 71722000.00 ns, 4.3776 us/op
WorkloadPilot   12: 32768 op, 130284000.00 ns, 3.9760 us/op
WorkloadPilot   13: 65536 op, 260175500.00 ns, 3.9700 us/op
WorkloadPilot   14: 131072 op, 521497000.00 ns, 3.9787 us/op

OverheadWarmup   1: 131072 op, 708700.00 ns, 5.4070 ns/op
OverheadWarmup   2: 131072 op, 682300.00 ns, 5.2055 ns/op
OverheadWarmup   3: 131072 op, 683100.00 ns, 5.2116 ns/op
OverheadWarmup   4: 131072 op, 690300.00 ns, 5.2666 ns/op
OverheadWarmup   5: 131072 op, 676000.00 ns, 5.1575 ns/op
OverheadWarmup   6: 131072 op, 722700.00 ns, 5.5138 ns/op
